ticker,company_name,year,market_cap,category,sector,price,ret_1d,low_52w,high_52w,from_low_pct,from_high_pct,sma_20d,sma_50d,sma_200d,ret_3d,ret_7d,ret_30d,ret_3m,ret_6m,ret_1y,ret_3y,ret_5y,volume_1d,volume_7d,volume_30d,volume_90d,volume_180d,vol_ratio_1d_90d,vol_ratio_7d_90d,vol_ratio_30d_90d,vol_ratio_1d_180d,vol_ratio_7d_180d,vol_ratio_30d_180d,vol_ratio_90d_180d,rvol,prev_close,pe,eps_current,eps_last_qtr,eps_change_pct
503811,Siyaram Silk Mills Ltd,1978,"₹3,266 Cr",Small Cap,Textiles & Apparel,₹720,1.79%,₹465,"₹1,175",54.88%,-38.71%,₹716,₹717,₹736,1.41%,-0.57%,3.81%,2.13%,-24.51%,41.74%,38.16%,457.35%,11584,8629,16704,12304,11584,-5.85%,-29.86%,35.76%,0.00%,-25.51%,44.20%,6.21%,0.9,₹707,17,43,45,-3.44%
500101,Arvind Ltd,1931,"₹8,935 Cr",Mid Cap,Textiles & Apparel,₹342,1.44%,₹272,₹450,25.81%,-24.15%,₹345,₹353,₹362,0.83%,-1.39%,-2.40%,-9.26%,-7.38%,-11.72%,282.90%,1034.26%,32402,13559,14783,24502,29893,32.24%,-44.66%,-39.67%,8.39%,-54.64%,-50.55%,-18.03%,1.3,₹337,25,13,15,-10.07%
HEG,HEG Ltd,1972,"₹10,195 Cr",Mid Cap,"Machinery, Equipment & Components",₹529,-2.25%,₹331,₹620,59.70%,-14.61%,₹518,₹510,₹463,-2.15%,-3.90%,7.69%,11.14%,30.08%,24.46%,145.28%,240.20%,514231,905473,1038039,1265674,1536148,-59.37%,-28.46%,-17.99%,-66.52%,-41.06%,-32.43%,-17.61%,0.4,₹541,89,6,6,-0.67%
532610,Dwarikesh Sugar Industries Ltd,1993,₹848 Cr,Small Cap,Food & Tobacco,₹46,-0.50%,₹33,₹80,38.62%,-43.03%,₹48,₹48,₹50,-2.85%,-5.26%,-4.56%,14.05%,-6.86%,-38.21%,-59.43%,92.10%,25681,43273,48069,73338,88915,-64.98%,-41.00%,-34.46%,-71.12%,-51.33%,-45.94%,-17.52%,0.3,₹46,36,1,2,-16.00%
530759,Sterling Tools Ltd,1979,"₹1,344 Cr",Small Cap,Automobiles & Auto Parts,₹371,-0.86%,₹265,₹744,39.90%,-50.16%,₹360,₹351,₹432,1.99%,5.29%,0.65%,16.21%,-24.48%,-1.62%,43.36%,109.87%,8080,23299,16014,21550,17251,-62.51%,8.12%,-25.69%,-53.16%,35.06%,-7.17%,24.92%,0.4,₹374,23,16,15,7.00%
MASTEK,Mastek Ltd,1982,"₹7,679 Cr",Mid Cap,Software & IT Services,"₹2,481",-2.67%,"₹1,887","₹3,375",31.49%,-26.48%,"₹2,523","₹2,436","₹2,592",-6.64%,-2.29%,-1.22%,15.94%,-4.51%,-7.92%,22.56%,417.08%,165825,1216560,343529,200411,288973,-17.26%,507.03%,71.41%,-42.62%,320.99%,18.88%,-30.65%,0.8,"₹2,549",20,127,100,27.08%
TECHM,Tech Mahindra Ltd,1986,"₹146,719 Cr",Large Cap,Software & IT Services,"₹1,496",-3.26%,"₹1,209","₹1,808",23.71%,-17.23%,"₹1,606","₹1,616","₹1,610",-3.30%,-4.32%,-12.60%,1.96%,-13.52%,-2.21%,49.11%,124.23%,2207437,2221324,2369421,2033391,2122885,8.56%,9.24%,16.53%,3.98%,4.64%,11.61%,-4.22%,1.1,"₹1,547",29,51,45,13.76%
RAJESHEXPO,Rajesh Exports Ltd,1995,"₹5,955 Cr",Mid Cap,Textiles & Apparel,₹202,1.39%,₹151,₹333,33.55%,-39.31%,₹203,₹199,₹205,1.31%,-2.52%,1.94%,6.62%,1.85%,-36.24%,-66.26%,-57.26%,335773,345454,726066,662784,1261412,-49.34%,-47.88%,9.55%,-73.38%,-72.61%,-42.44%,-47.46%,0.5,₹199,97,2,2,38.00%
502986,Vardhman Textiles Ltd,1973,"₹14,268 Cr",Mid Cap,Textiles & Apparel,₹493,1.88%,₹363,₹592,36.09%,-16.68%,₹498,₹492,₹468,1.76%,-1.92%,1.13%,5.77%,12.12%,-10.79%,59.57%,279.63%,20853,14497,27769,17849,18577,16.83%,-18.78%,55.58%,12.25%,-21.97%,49.48%,-3.92%,1.2,₹484,16,30,25,19.80%
LUMAXTECH,Lumax AutoTechnologies Ltd,1981,"₹7,453 Cr",Mid Cap,Automobiles & Auto Parts,"₹1,071",-6.13%,₹449,"₹1,209",138.53%,-11.41%,"₹1,138",₹999,₹669,-6.18%,-7.12%,-3.77%,100.06%,101.73%,86.68%,349.06%,1035.74%,333385,112288,116920,336165,220395,-0.83%,-66.60%,-65.22%,51.27%,-49.05%,-46.95%,52.53%,1.0,"₹1,141",41,26,25,4.32%
APLLTD,Alembic Pharmaceuticals Ltd,2010,"₹20,040 Cr",Large Cap,Pharmaceuticals,"₹1,020",0.04%,₹725,"₹1,304",40.65%,-21.77%,"₹1,010",₹989,₹967,0.35%,-1.54%,3.97%,16.06%,6.38%,-15.07%,42.94%,4.80%,44540,57936,868955,421782,329413,-89.44%,-86.26%,106.02%,-86.48%,-82.41%,163.79%,28.04%,0.1,"₹1,020",34,30,25,18.72%
505710,Grauer And Weil (India) Ltd,1957,"₹4,616 Cr",Small Cap,Chemicals,₹102,-1.17%,₹78,₹120,30.51%,-15.17%,₹105,₹93,₹95,-1.45%,-5.57%,-5.99%,17.84%,3.25%,18.81%,233.77%,454.77%,125412,141612,314673,283691,256119,-55.79%,-50.08%,10.92%,-51.03%,-44.71%,22.86%,10.77%,0.4,₹103,29,3,4,-0.86%
JAGRAN,Jagran Prakashan Ltd,1975,"₹1,596 Cr",Small Cap,Media & Publishing,₹73,-1.76%,₹65,₹111,12.46%,-34.37%,₹72,₹73,₹77,-0.96%,1.60%,1.04%,-1.56%,-6.81%,-25.41%,33.53%,87.94%,104239,304888,188796,313683,313021,-66.77%,-2.80%,-39.81%,-66.70%,-2.60%,-39.69%,0.21%,0.3,₹74,12,6,6,0.33%
530007,JK Tyre & Industries Ltd,1951,"₹9,700 Cr",Mid Cap,Automobiles & Auto Parts,₹354,0.10%,₹232,₹459,52.82%,-22.93%,₹365,₹367,₹345,0.28%,-5.84%,-1.23%,14.54%,3.06%,-19.16%,203.62%,442.45%,36329,47123,42833,89695,81938,-59.50%,-47.46%,-52.25%,-55.66%,-42.49%,-47.73%,9.47%,0.4,₹354,20,18,15,20.47%
UNIPARTS,Uniparts India Ltd,1994,"₹1,693 Cr",Small Cap,"Machinery, Equipment & Components",₹381,0.47%,₹297,₹522,28.54%,-26.95%,₹394,₹376,₹372,-0.38%,-1.42%,-0.93%,17.79%,2.98%,-22.16%,,,28250,34123,42353,54406,78415,-48.08%,-37.28%,-22.15%,-63.97%,-56.48%,-45.99%,-30.62%,0.5,₹380,20,20,15,30.00%
533229,Bajaj Consumer Care Ltd,2006,"₹3,359 Cr",Small Cap,Personal & Household Products & Services,₹245,0.91%,₹152,₹289,61.11%,-15.21%,₹231,₹199,₹190,2.92%,4.33%,18.58%,45.07%,33.92%,-9.30%,56.83%,52.12%,96889,115495,182404,99432,66350,-2.56%,16.15%,83.45%,46.03%,74.07%,174.91%,49.86%,1.0,₹243,27,9,9,0.33%
HAL,Hindustan Aeronautics Ltd,1963,"₹312,933 Cr",Mega Cap,Aerospace & Defense,"₹4,678",-0.80%,"₹3,046","₹5,165",53.59%,-9.42%,"₹4,865","₹4,940","₹4,307",-1.68%,-2.32%,-2.35%,5.73%,21.56%,-3.14%,396.90%,951.09%,861599,1088042,1107020,2144050,2169116,-59.81%,-49.25%,-48.37%,-60.28%,-49.84%,-48.96%,-1.16%,0.4,"₹4,716",37,125,100,25.07%
500097,Dalmia Bharat Sugar and Industries Ltd,1951,"₹3,095 Cr",Small Cap,Food & Tobacco,₹382,-1.52%,₹291,₹582,31.23%,-34.41%,₹398,₹417,₹393,-2.35%,-4.34%,-7.89%,-3.27%,7.05%,-4.48%,6.41%,222.02%,13851,10376,8051,10189,10538,35.94%,1.83%,-20.99%,31.44%,-1.54%,-23.60%,-3.31%,1.4,₹388,8,48,45,6.18%
EKC,Everest Kanto Cylinder Ltd,1978,"₹1,477 Cr",Small Cap,"Machinery, Equipment & Components",₹131,-4.96%,₹103,₹232,27.39%,-43.34%,₹138,₹135,₹152,-3.64%,-5.13%,-4.55%,7.83%,-14.92%,-18.02%,-22.22%,519.72%,1032709,358307,418445,445289,451427,131.92%,-19.53%,-6.03%,128.77%,-20.63%,-7.31%,-1.36%,2.3,₹138,15,9,9,-3.00%
513519,Pitti Engineering Ltd,1983,"₹3,575 Cr",Small Cap,"Machinery, Equipment & Components",₹962,-0.78%,₹835,"₹1,511",15.25%,-36.33%,₹979,₹986,"₹1,113",-7.24%,-1.74%,-0.08%,4.00%,-20.68%,-18.92%,194.15%,3399.27%,14970,18497,5809,4896,5561,205.79%,277.84%,18.65%,169.18%,232.61%,4.45%,-11.97%,3.2,₹970,29,33,25,33.28%
500405,Supreme Petrochem Ltd,1989,"₹15,169 Cr",Mid Cap,Chemicals,₹806,-0.92%,₹518,₹923,55.58%,-12.72%,₹824,₹781,₹693,-0.61%,-2.63%,-8.33%,25.36%,35.68%,-7.51%,83.70%,785.23%,2011,1804,2305,4369,6454,-53.97%,-58.72%,-47.24%,-68.84%,-72.06%,-64.29%,-32.31%,0.5,₹813,39,21,25,-16.92%
500110,Chennai Petroleum Corporation Ltd,1965,"₹11,333 Cr",Mid Cap,Oil & Gas,₹761,-2.15%,₹433,"₹1,059",75.67%,-28.14%,₹736,₹694,₹621,-3.30%,1.79%,13.37%,21.95%,36.16%,-25.40%,162.73%,765.69%,60604,175375,193815,131930,126765,-54.06%,32.93%,46.91%,-52.19%,38.35%,52.89%,4.07%,0.5,₹778,53,14,15,-4.13%
500620,Great Eastern Shipping Company Ltd,1948,"₹13,930 Cr",Mid Cap,Oil & Gas Related Equipment and Services,₹977,-1.29%,₹797,"₹1,418",22.48%,-31.14%,₹998,₹977,₹983,-1.37%,-1.91%,-1.35%,7.06%,3.70%,-27.26%,114.27%,355.11%,9633,8639,31374,46349,33943,-79.22%,-81.36%,-32.31%,-71.62%,-74.55%,-7.57%,36.55%,0.2,₹989,6,164,100,63.87%
PETRONET,Petronet LNG Ltd,1998,"₹46,200 Cr",Large Cap,Oil & Gas Related Equipment and Services,₹308,0.41%,₹270,₹384,14.24%,-19.83%,₹305,₹306,₹313,1.57%,-0.93%,3.80%,-0.85%,-4.66%,-15.70%,36.43%,29.18%,1617268,1590346,3156349,2511967,2363888,-35.62%,-36.69%,25.65%,-31.58%,-32.72%,33.52%,6.26%,0.6,₹307,12,26,25,5.92%
522261,Dolphin Offshore Enterprises (India) Ltd,1979,"₹1,788 Cr",Small Cap,Oil & Gas Related Equipment and Services,₹454,-0.99%,₹200,₹753,126.85%,-39.75%,₹453,₹413,₹421,1.04%,-0.07%,16.42%,15.86%,11.42%,-24.38%,,,501,618,4291,2870,43496,-82.55%,-78.48%,49.50%,-98.85%,-98.58%,-90.13%,-93.40%,0.2,₹458,39,12,9,29.11%
OIL,Oil India Ltd,1959,"₹72,821 Cr",Large Cap,Oil & Gas,₹447,-1.41%,₹325,₹768,37.54%,-41.79%,₹444,₹443,₹435,-0.96%,0.12%,0.51%,9.43%,4.44%,-21.15%,260.54%,577.18%,2260983,1863268,3005082,3827905,3461723,-40.93%,-51.32%,-21.50%,-34.69%,-46.18%,-13.19%,10.58%,0.6,₹453,11,40,45,-10.51%
GMDCLTD,Gujarat Mineral Development Corpn Ltd,1963,"₹14,387 Cr",Mid Cap,Coal,₹452,-1.29%,₹227,₹472,99.48%,-4.32%,₹409,₹392,₹332,-1.20%,19.14%,12.00%,43.32%,49.02%,10.72%,189.68%,1013.05%,2901924,19969342,5746346,3380052,2430685,-14.15%,490.80%,70.01%,19.39%,721.55%,136.41%,39.06%,0.9,₹458,21,22,25,-13.72%
IOC,Indian Oil Corporation Ltd,1959,"₹213,543 Cr",Mega Cap,Oil & Gas,₹151,-0.82%,₹111,₹186,36.47%,-18.75%,₹151,₹146,₹137,-0.58%,0.09%,6.35%,10.63%,17.73%,-14.56%,110.75%,141.60%,5879844,7781334,11883601,14203455,14160432,-58.60%,-45.22%,-16.33%,-58.48%,-45.05%,-16.08%,0.30%,0.4,₹152,15,10,9,9.67%
ONGC,Oil and Natural Gas Corporation Ltd,1993,"₹307,953 Cr",Mega Cap,Oil & Gas,₹245,-0.12%,₹205,₹345,19.63%,-28.91%,₹244,₹245,₹247,-0.47%,0.57%,0.86%,-2.63%,-4.88%,-26.97%,90.33%,201.98%,4590999,6707377,9153720,11989962,12075692,-61.71%,-44.06%,-23.66%,-61.98%,-44.46%,-24.20%,-0.71%,0.4,₹246,9,29,25,15.20%
DEEPINDS,Deep Industries Ltd,2006,"₹2,996 Cr",Small Cap,Oil & Gas Related Equipment and Services,₹465,-1.93%,₹296,₹624,56.99%,-25.53%,₹457,₹440,₹488,-1.21%,0.33%,4.65%,1.03%,-11.55%,52.13%,371.05%,,78980,157413,153778,161258,193167,-51.02%,-2.38%,-4.64%,-59.11%,-18.51%,-20.39%,-16.52%,0.5,₹474,,-14,,
533451,Karma Energy Ltd,2007,₹75 Cr,Nano Cap,Electrical Utilities & IPPs,₹66,-0.02%,₹45,₹96,46.26%,-31.53%,₹70,₹68,₹64,-0.24%,-7.36%,-9.24%,25.03%,2.61%,-28.01%,185.16%,574.85%,10,1221,936,7054,4486,-99.86%,-82.68%,-86.73%,-99.78%,-72.77%,-79.14%,57.23%,0.0,₹66,49,1,2,-10.00%
CIPLA,Cipla Ltd,1935,"₹120,062 Cr",Large Cap,Pharmaceuticals,"₹1,486",0.87%,"₹1,335","₹1,702",11.33%,-12.68%,"₹1,491","₹1,491","₹1,485",1.50%,0.26%,-1.66%,-4.51%,5.21%,-0.92%,55.38%,127.45%,1389152,1353409,1360015,1600704,1623354,-13.22%,-15.45%,-15.04%,-14.43%,-16.63%,-16.22%,-1.40%,0.9,"₹1,474",23,65,65,0.37%
500124,Dr Reddy's Laboratories Ltd,1984,"₹1,212 Cr",Small Cap,Pharmaceuticals,"₹1,265",1.39%,"₹1,026","₹1,420",23.29%,-10.94%,"₹1,271","₹1,281","₹1,241",1.97%,0.13%,-5.34%,5.80%,3.64%,-7.73%,50.69%,58.06%,211022,109270,59163,69193,81195,204.98%,57.92%,-14.50%,159.90%,34.58%,-27.13%,-14.78%,3.2,"₹1,248",19,68,65,4.29%
ZYDUSLIFE,Zydus Lifesciences Ltd,1995,"₹97,720 Cr",Large Cap,Pharmaceuticals,₹971,0.96%,₹795,"₹1,324",22.16%,-26.67%,₹980,₹958,₹943,1.51%,-1.18%,-0.77%,9.10%,1.00%,-19.46%,182.35%,171.23%,639210,721868,865254,985328,1281433,-35.13%,-26.74%,-12.19%,-50.12%,-43.67%,-32.48%,-23.11%,0.6,₹962,22,45,45,-0.07%
AUROPHARMA,Aurobindo Pharma Ltd,1986,"₹64,829 Cr",Large Cap,Pharmaceuticals,"₹1,116",-0.11%,"₹1,010","₹1,592",10.51%,-29.89%,"₹1,142","₹1,148","₹1,198",1.34%,-3.29%,-0.01%,-10.19%,-7.60%,-18.10%,112.89%,43.74%,1069867,697833,1067658,1114053,1149626,-3.97%,-37.36%,-4.16%,-6.94%,-39.30%,-7.13%,-3.09%,1.0,"₹1,117",19,60,65,-7.98%
GLAND,Gland Pharma Ltd,1978,"₹33,231 Cr",Large Cap,Pharmaceuticals,"₹2,017",-1.03%,"₹1,278","₹2,221",57.85%,-9.18%,"₹1,912","₹1,746","₹1,653",2.81%,0.46%,13.74%,43.30%,29.97%,0.60%,-8.26%,,191641,495553,475205,275617,306412,-30.47%,79.80%,72.42%,-37.46%,61.73%,55.09%,-10.05%,0.7,"₹2,038",48,42,45,-5.78%
PFIZER,Pfizer Ltd,1950,"₹24,034 Cr",Large Cap,Pharmaceuticals,"₹5,254",-0.71%,"₹3,701","₹6,451",41.95%,-18.56%,"₹5,537","₹5,518","₹4,892",-0.63%,-2.02%,-5.25%,23.53%,12.01%,-0.60%,27.65%,20.90%,15517,16560,38852,61015,55390,-74.57%,-72.86%,-36.32%,-71.99%,-70.10%,-29.86%,10.16%,0.3,"₹5,291",31,168,100,67.79%
500674,Sanofi India Ltd,1956,"₹13,611 Cr",Mid Cap,Pharmaceuticals,"₹5,914",-0.45%,"₹4,146","₹7,594",42.65%,-22.12%,"₹6,023","₹6,110","₹5,967",-0.05%,-0.70%,-2.32%,-2.17%,11.20%,-11.86%,62.16%,39.09%,204,211,482,574,1243,-64.44%,-63.29%,-15.94%,-83.59%,-83.06%,-61.21%,-53.85%,0.4,"₹5,941",34,172,100,72.04%
ERIS,Eris Lifesciences Ltd,2007,"₹24,258 Cr",Large Cap,Pharmaceuticals,"₹1,781",0.72%,"₹1,022","₹1,910",74.30%,-6.75%,"₹1,731","₹1,668","₹1,432",0.30%,0.39%,8.96%,19.42%,47.60%,66.46%,163.71%,318.29%,101486,73189,130581,254925,240407,-60.19%,-71.29%,-48.78%,-57.79%,-69.56%,-45.68%,6.04%,0.4,"₹1,768",69,26,25,3.24%
530019,Jubilant Pharmova Ltd,1978,"₹18,653 Cr",Mid Cap,Pharmaceuticals,"₹1,175",-1.88%,₹713,"₹1,309",64.67%,-10.25%,"₹1,194","₹1,145","₹1,045",-2.76%,-2.14%,-1.41%,28.58%,26.47%,60.63%,226.94%,111.84%,14415,13975,11295,15463,14848,-6.78%,-9.62%,-26.96%,-2.92%,-5.88%,-23.93%,4.14%,0.9,"₹1,197",22,53,45,17.44%
524348,Aarti Drugs Ltd,1984,"₹4,906 Cr",Small Cap,Pharmaceuticals,₹538,0.54%,₹313,₹635,72.19%,-15.25%,₹495,₹476,₹429,0.35%,4.33%,18.39%,52.26%,30.69%,2.39%,26.04%,22.50%,40922,60083,58294,46193,32210,-11.41%,30.07%,26.20%,27.05%,86.54%,80.98%,43.41%,0.9,₹535,26,21,25,-17.28%
MARKSANS,Marksans Pharma Ltd,1992,"₹10,491 Cr",Mid Cap,Pharmaceuticals,₹233,-1.92%,₹171,₹359,36.05%,-35.14%,₹254,₹253,₹257,-3.88%,-10.14%,-6.23%,6.49%,-8.31%,15.74%,370.25%,573.26%,2226047,1191735,983768,1232932,1354793,80.55%,-3.34%,-20.21%,64.31%,-12.04%,-27.39%,-8.99%,1.8,₹237,28,8,9,-6.67%
STAR,Strides Pharma Science Ltd,1990,"₹8,461 Cr",Mid Cap,Pharmaceuticals,₹918,-0.10%,₹471,₹956,94.76%,-3.97%,₹889,₹832,₹849,4.58%,2.47%,3.47%,38.69%,51.69%,-7.20%,176.90%,122.92%,402293,383150,526576,623202,649701,-35.45%,-38.52%,-15.50%,-38.08%,-41.03%,-18.95%,-4.08%,0.6,₹919,21,44,45,-2.11%
AARTIPHARM,Aarti Pharmalabs Ltd,2019,"₹8,489 Cr",Mid Cap,Pharmaceuticals,₹939,-0.85%,₹557,₹971,68.54%,-3.31%,₹923,₹898,₹739,0.45%,-1.99%,9.27%,29.89%,52.39%,60.13%,,,162141,243445,302070,371758,638555,-56.39%,-34.52%,-18.75%,-74.61%,-61.88%,-52.69%,-41.78%,0.4,₹947,31,30,25,20.24%
524735,Hikal Ltd,1988,"₹4,190 Cr",Small Cap,Pharmaceuticals,₹339,-0.95%,₹309,₹465,9.55%,-27.02%,₹346,₹365,₹379,0.50%,-3.97%,-5.90%,-13.50%,-1.10%,-4.07%,35.83%,142.79%,29867,27152,24564,27498,29342,8.61%,-1.26%,-10.67%,1.79%,-7.46%,-16.28%,-6.28%,1.1,₹342,83,4,4,16.29%
WOCKPHARMA,Wockhardt Ltd,1999,"₹27,590 Cr",Large Cap,Pharmaceuticals,"₹1,698",-0.92%,₹833,"₹1,869",103.76%,-9.14%,"₹1,733","₹1,619","₹1,418",-0.78%,-6.71%,-1.04%,22.24%,23.61%,97.29%,692.64%,619.24%,327960,385823,841985,907620,732279,-63.87%,-57.49%,-7.23%,-55.21%,-47.31%,14.98%,23.94%,0.4,"₹1,714",,-3,,
INDOCO,Indoco Remedies Ltd,1947,"₹2,998 Cr",Small Cap,Pharmaceuticals,₹325,4.45%,₹190,₹388,71.05%,-16.14%,₹324,₹292,₹283,4.60%,-4.12%,9.63%,38.53%,11.11%,0.26%,-15.09%,57.79%,1252464,300236,140392,96040,99771,1204.11%,212.62%,46.18%,1155.33%,200.92%,40.71%,-3.74%,13.0,₹311,,-8,,
DCAL,Dishman Carbogen Amcis Ltd,2007,"₹3,957 Cr",Small Cap,Pharmaceuticals,₹252,-3.33%,₹160,₹308,58.11%,-18.05%,₹257,₹257,₹235,-0.65%,-4.36%,2.55%,24.58%,7.25%,49.35%,105.39%,56.80%,85931,75969,86268,457374,422895,-81.21%,-83.39%,-81.14%,-79.68%,-82.04%,-79.60%,8.15%,0.2,₹261,1202,0,,
SUPRIYA,Supriya Lifescience Ltd,2008,"₹5,555 Cr",Mid Cap,Pharmaceuticals,₹690,-1.36%,₹380,₹842,81.63%,-18.03%,₹709,₹704,₹693,-0.53%,-4.18%,3.27%,0.49%,-1.08%,80.14%,86.39%,,186459,164898,283701,263974,309987,-29.36%,-37.53%,7.47%,-39.85%,-46.80%,-8.48%,-14.84%,0.7,₹700,30,23,25,-6.60%
512529,SeQuent Scientific Ltd,1985,"₹4,585 Cr",Small Cap,Pharmaceuticals,₹183,-2.08%,₹111,₹241,65.09%,-23.93%,₹187,₹188,₹174,-2.99%,-3.14%,-6.75%,20.65%,5.38%,28.37%,53.21%,61.34%,11876,19651,41002,72108,58734,-83.53%,-72.75%,-43.14%,-79.78%,-66.54%,-30.19%,22.77%,0.2,₹187,215,1,,
500672,Novartis India Ltd,1947,"₹2,506 Cr",Small Cap,Pharmaceuticals,"₹1,015",-1.01%,₹745,"₹1,248",36.24%,-18.68%,"₹1,052","₹1,019",₹932,-4.39%,-4.29%,-1.59%,26.71%,11.03%,-10.84%,52.77%,63.41%,9458,14138,13978,14765,13505,-35.94%,-4.25%,-5.33%,-29.97%,4.69%,3.50%,9.33%,0.6,"₹1,025",25,41,45,-9.18%
507747,TTK Healthcare Ltd,1958,"₹1,870 Cr",Small Cap,Pharmaceuticals,"₹1,324",-2.13%,₹991,"₹1,923",33.63%,-31.13%,"₹1,330","₹1,286","₹1,320",-1.90%,-1.54%,5.08%,8.02%,1.04%,-9.94%,54.39%,222.61%,186,190,286,285,243,-34.84%,-33.30%,0.29%,-23.50%,-21.70%,17.74%,17.39%,0.6,"₹1,353",32,43,45,-4.67%
530199,Themis Medicare Ltd,1969,"₹1,083 Cr",Small Cap,Pharmaceuticals,₹119,-2.82%,₹115,₹314,3.30%,-62.11%,₹126,₹134,₹194,-4.23%,-6.60%,-12.31%,-11.14%,-53.67%,-52.20%,42.53%,204.65%,28018,8999,12959,16037,15510,74.70%,-43.88%,-19.20%,80.65%,-41.98%,-16.45%,3.40%,1.8,₹122,37,3,4,-7.43%
SOLARA,Solara Active Pharma Sciences Ltd,2017,"₹2,934 Cr",Small Cap,Pharmaceuticals,₹660,-2.47%,₹443,₹883,49.15%,-25.19%,₹656,₹564,₹606,-1.84%,-4.71%,3.08%,27.23%,5.28%,8.97%,99.24%,9.27%,106365,82645,261021,221391,172139,-51.96%,-62.67%,17.90%,-38.21%,-51.99%,51.63%,28.61%,0.5,₹677,4718,0,,
524394,Vimta Labs Ltd,1990,"₹2,252 Cr",Small Cap,Biotechnology & Medical Research,₹509,-0.78%,₹235,₹592,116.68%,-13.91%,₹473,₹482,₹462,-1.77%,9.39%,10.17%,0.86%,18.67%,85.81%,162.33%,1012.68%,17313,170052,49557,24080,20342,-28.10%,606.18%,105.80%,-14.89%,735.98%,143.62%,18.38%,0.7,₹513,31,16,15,9.40%
SIGACHI,Sigachi Industries Ltd,1989,"₹1,519 Cr",Small Cap,Pharmaceuticals,₹40,-1.12%,₹34,₹70,17.06%,-43.05%,₹43,₹48,₹46,-0.25%,-1.24%,-29.18%,-8.13%,-16.56%,-39.65%,62.82%,,5861205,6109260,13700305,7660054,5045033,-23.48%,-20.25%,78.85%,16.18%,21.09%,171.56%,51.83%,0.8,₹40,19,2,2,37.33%
531633,Lincoln Pharmaceuticals Ltd,1995,"₹1,112 Cr",Small Cap,Pharmaceuticals,₹551,0.26%,₹500,₹975,10.10%,-43.54%,₹560,₹565,₹640,-0.84%,-2.96%,-3.17%,-6.47%,-23.11%,-14.27%,82.50%,213.85%,536,2316,2812,4451,6314,-87.96%,-47.96%,-36.83%,-91.51%,-63.31%,-55.47%,-29.50%,0.1,₹549,13,41,45,-8.64%
506197,Bliss GVS Pharma Ltd,1984,"₹1,615 Cr",Small Cap,Pharmaceuticals,₹153,-2.39%,₹105,₹185,45.79%,-17.19%,₹157,₹145,₹140,-3.41%,-2.33%,5.05%,29.01%,-3.06%,28.48%,103.24%,48.39%,20788,32366,34491,46019,47945,-54.83%,-29.67%,-25.05%,-56.64%,-32.49%,-28.06%,-4.02%,0.4,₹157,19,8,6,32.50%
PANACEABIO,Panacea Biotec Ltd,1984,"₹2,637 Cr",Small Cap,Pharmaceuticals,₹431,-0.25%,₹132,₹582,227.19%,-25.92%,₹421,₹453,₹425,3.20%,-1.47%,1.38%,-19.98%,18.34%,215.18%,236.59%,119.33%,128867,116289,185577,216794,260881,-40.56%,-46.36%,-14.40%,-50.60%,-55.42%,-28.87%,-16.90%,0.6,₹432,,-1,,
WINDLAS,Windlas Biotech Ltd,2001,"₹2,051 Cr",Small Cap,Pharmaceuticals,₹977,5.30%,₹665,"₹1,198",46.90%,-18.46%,₹914,₹918,₹965,6.30%,4.59%,7.76%,-1.12%,0.62%,34.36%,355.75%,,402784,109624,54338,53766,85408,649.15%,103.89%,1.06%,371.60%,28.35%,-36.38%,-37.05%,7.5,₹928,34,29,25,15.48%
506260,Anuh Pharma Ltd,1960,"₹1,003 Cr",Small Cap,Pharmaceuticals,₹100,0.25%,₹74,₹125,35.08%,-19.99%,₹105,₹105,₹97,-2.91%,0.35%,-0.75%,19.59%,2.42%,-11.72%,128.89%,88.25%,11823,116639,50740,26277,20116,-55.01%,343.89%,93.10%,-41.23%,479.82%,152.23%,30.62%,0.4,₹100,21,5,4,34.86%
INDSWFTLAB,IND Swift Laboratories Ltd,1995,₹762 Cr,Small Cap,Pharmaceuticals,₹105,-2.33%,₹69,₹186,52.78%,-43.55%,₹110,₹99,₹99,-1.97%,-2.03%,-5.44%,38.11%,-5.60%,-23.55%,77.78%,203.65%,119505,79282,233169,488976,318443,-75.56%,-83.79%,-52.31%,-62.47%,-75.10%,-26.78%,53.55%,0.2,₹108,2,60,65,-7.77%
506414,Fermenta Biotech Ltd,1951,"₹1,106 Cr",Small Cap,Pharmaceuticals,₹383,0.99%,₹219,₹449,74.89%,-14.70%,₹358,₹333,₹327,-1.02%,3.29%,23.11%,37.97%,0.18%,49.96%,101.63%,32.02%,2138,10005,27018,18427,29439,-88.40%,-45.71%,46.62%,-92.74%,-66.02%,-8.22%,-37.41%,0.1,₹379,6,120,100,20.31%
524075,Albert David Ltd,1938,₹519 Cr,Small Cap,Pharmaceuticals,₹908,-0.80%,₹764,"₹1,753",18.82%,-48.22%,₹906,₹859,"₹1,043",0.01%,-1.79%,6.18%,8.00%,-25.90%,-28.72%,58.64%,134.99%,162,187,909,861,1000,-81.18%,-78.33%,5.62%,-83.80%,-81.34%,-9.08%,-13.91%,0.2,₹915,11,102,100,1.75%
